IQ,PE,SES,SEX,college_plans
0,1,2,male,no
2,1,1,female,no
3,1,2,female,yes
1,0,0,female,no
2,0,2,male,no
2,1,3,male,no
2,1,3,male,yes
2,1,0,male,no
3,0,3,female,yes
2,1,1,male,yes
0,1,0,male,no
2,1,3,male,yes
0,1,1,female,no
0,1,1,male,no
0,1,0,male,yes
2,0,0,male,no
0,0,3,female,no
0,0,0,male,no
0,1,1,male,no
3,1,2,male,no
0,0,2,male,no
0,0,0,female,no
1,1,2,male,no
0,0,1,female,no
2,0,1,female,no
0,1,3,male,no
1,0,0,female,no
0,1,2,male,no
0,0,0,female,no
0,1,2,male,yes
2,0,1,female,no
2,0,1,female,no
3,0,2,male,yes
3,1,2,male,no
2,1,3,female,yes
0,0,2,female,no
1,0,0,female,no
2,1,2,male,no
2,1,3,male,no
0,1,1,male,no
1,0,3,female,no
3,1,2,female,no
1,0,2,female,no
3,0,3,male,no
3,1,3,female,yes
2,0,3,male,no
2,1,2,female,no
2,1,3,male,yes
1,1,0,male,no
2,1,3,male,yes
0,1,1,male,yes
0,0,0,female,no
1,1,3,male,yes
0,0,2,male,no
2,1,0,female,no
2,1,3,female,no
1,0,0,female,no
0,0,2,female,no
2,0,2,female,no
0,0,0,male,no
1,1,1,male,no
2,1,2,female,no
3,1,2,female,yes
3,0,0,female,yes
0,0,3,male,no
2,0,1,male,yes
1,0,1,female,no
3,0,3,female,no
3,1,3,male,yes
1,0,3,female,no
3,1,3,male,yes
2,1,3,female,yes
0,0,0,female,no
3,0,0,female,no
1,0,1,female,no
1,0,3,male,no
3,0,0,male,yes
2,0,2,female,no
3,0,1,male,no
1,0,3,male,no
3,1,3,male,yes
3,1,3,female,no
0,0,0,female,no
0,0,2,female,no
0,0,0,female,no
0,1,0,female,no
0,0,0,female,no
1,0,2,female,no
2,1,3,female,no
2,1,1,male,yes
0,0,0,male,no
0,0,3,male,no
2,0,1,male,no
2,0,0,female,no
3,1,1,male,yes
3,1,3,male,no
2,0,2,female,no
2,0,0,female,no
2,0,0,female,no
0,0,1,male,no
3,1,3,male,yes
2,1,1,male,yes
2,0,2,female,no
3,1,1,female,yes
2,1,2,male,yes
1,1,2,male,yes
2,0,0,male,no
2,1,3,female,yes
2,0,3,female,no
0,1,2,female,no
2,0,1,female,no
2,1,2,female,no
3,1,3,male,yes
3,1,1,male,no
1,0,0,male,no
1,1,2,male,no
0,0,1,male,no
0,0,0,male,no
1,1,1,male,yes
1,1,2,female,yes
0,0,2,female,no
0,0,2,female,no
2,1,3,female,yes
3,1,3,male,yes
3,1,0,male,yes
3,1,3,male,yes
2,1,3,male,no
3,1,3,male,yes
1,1,1,male,no
2,1,3,male,yes
2,0,0,female,no
1,0,2,female,no
3,1,2,female,no
0,1,3,male,no
1,0,2,female,no
2,1,2,female,yes
1,0,0,male,no
0,0,1,female,no
1,1,3,male,yes
1,0,1,female,no
2,0,2,female,no
1,1,3,male,no
2,1,2,male,no
0,0,0,male,no
1,0,0,female,no
3,1,3,male,yes
1,0,0,male,no
0,1,2,male,no
2,1,3,female,yes
0,1,0,male,no
0,1,2,male,no
3,1,3,male,no
3,1,0,male,yes
1,1,1,male,no
1,1,3,male,no
0,0,0,female,no
2,0,0,female,no
3,0,0,female,yes
0,1,1,female,yes
3,1,1,male,yes
1,1,1,male,no
2,1,2,female,yes
1,0,1,female,no
1,0,0,female,no
2,1,1,female,no
1,0,2,female,no
1,0,0,male,no
1,1,3,male,yes
2,0,1,male,no
3,1,3,female,yes
0,0,3,female,no
2,0,0,male,no
0,0,0,male,no
1,0,0,female,no
2,1,2,female,yes
2,1,2,female,no
2,0,3,female,no
1,0,1,male,no
1,1,3,male,yes
1,0,3,female,no
1,0,2,female,no
0,1,1,male,no
1,0,0,female,no
0,1,2,male,no
2,1,2,female,yes
0,0,0,female,no
3,1,3,male,yes
1,1,2,male,no
1,0,2,female,no
3,1,3,female,yes
2,1,1,male,yes
0,0,1,female,no
1,0,2,female,no
3,1,3,male,yes
3,1,3,female,yes
1,0,0,male,no
2,1,3,female,no
3,0,1,male,no
2,1,3,female,yes
2,0,0,female,no
0,0,2,male,no
3,1,1,male,no
0,0,2,male,no
3,1,1,female,no
3,1,3,female,yes
2,1,1,male,no
0,1,2,male,yes
3,1,3,female,yes
3,1,3,male,yes
2,0,3,female,no
1,0,0,female,no
0,0,2,male,no
1,0,3,female,no
0,0,1,female,yes
1,0,1,female,no
3,1,3,female,yes
0,0,1,female,no
2,0,3,male,no
2,1,1,female,no
0,0,3,female,no
2,1,3,female,yes
2,0,1,female,yes
3,1,3,male,yes
0,1,2,male,yes
2,0,1,female,no
2,1,3,male,yes
3,1,1,male,no
1,1,2,female,yes
1,0,0,female,no
3,0,2,male,no
0,0,2,female,no
3,1,2,male,yes
0,0,0,male,no
3,0,3,female,yes
0,1,1,male,yes
0,0,1,female,no
3,1,3,female,yes
3,1,2,male,yes
1,1,2,male,no
0,1,0,female,no
3,1,3,male,yes
1,0,1,female,no
2,0,1,female,no
2,1,2,female,yes
1,0,0,female,no
3,0,2,female,yes
1,0,0,female,no
2,1,2,female,no
3,1,0,male,yes
3,1,3,female,no
0,0,2,male,no
2,0,2,male,yes
1,0,2,female,no
1,1,0,male,no
0,0,2,female,yes
3,1,3,female,no
0,1,3,male,no
0,0,0,male,no
0,0,0,female,no
3,1,3,female,yes
2,1,1,female,yes
1,0,0,female,no
2,1,1,male,no
0,0,0,female,no
3,1,3,female,yes
1,0,0,female,no
0,1,1,male,no
3,1,2,female,yes
0,1,0,female,no
1,1,1,male,yes
1,0,0,female,no
1,1,3,female,yes
0,0,2,male,no
3,0,3,female,no
2,0,3,female,no
0,0,1,male,no
3,0,2,female,no
1,0,1,male,no
1,1,1,female,no
2,0,0,female,no
3,1,3,female,yes
0,0,0,male,no
0,0,0,male,no
1,0,0,female,no
1,0,0,male,no
0,0,0,female,no
1,1,0,female,no
1,0,0,female,no
2,1,3,female,yes
0,0,0,male,no
0,1,1,male,yes
2,1,2,female,yes
0,0,1,female,no
3,1,3,male,no
1,0,3,female,no
0,0,3,male,no
2,1,1,female,no
3,1,0,female,no
3,1,1,male,yes
0,0,0,female,no
3,0,0,male,no
3,1,1,male,yes
2,1,0,female,no
2,1,3,male,yes
0,0,0,male,no
2,0,3,male,yes
1,1,1,female,no
3,1,3,female,yes
0,0,0,female,no
2,0,2,male,no
3,0,1,female,no
1,0,0,female,no
3,1,3,male,no
3,1,3,male,yes
0,0,1,male,no
1,0,1,male,no
1,0,1,female,no
3,1,3,male,yes
3,1,3,male,yes
2,0,1,female,no
1,0,2,female,no
2,1,0,female,yes
1,1,3,male,no
0,1,3,female,yes
1,0,3,male,no
3,1,2,male,no
1,1,2,male,yes
0,0,1,male,no
1,1,1,female,no
0,0,2,female,no
1,0,1,male,no
2,1,3,male,yes
0,0,0,male,no
0,1,2,female,yes
2,0,0,female,no
1,0,2,female,no
1,0,0,male,no
3,1,3,female,yes
0,0,0,female,no
3,0,0,male,no
0,0,2,female,no
0,0,0,female,no
2,0,0,female,no
0,1,3,female,no
0,1,1,female,yes
3,1,0,female,no
3,0,3,female,no
3,0,0,female,no
2,0,2,female,no
1,1,2,female,yes
1,0,1,female,no
1,1,2,male,yes
3,1,3,male,yes
1,0,0,female,no
3,1,3,female,yes
2,0,1,female,no
2,0,2,female,no
1,0,0,male,no
1,1,1,male,no
3,1,2,male,yes
1,1,3,female,no
1,0,0,female,no
0,0,0,female,no
3,0,0,female,yes
1,1,1,male,no
0,0,2,male,no
1,0,2,male,no
2,0,1,female,no
2,1,3,female,yes
3,1,1,male,no
2,1,1,female,no
1,0,1,male,no
2,0,1,female,no
3,1,1,male,no
2,0,1,male,no
1,0,1,female,no
2,1,2,male,yes
2,0,1,female,no
1,0,0,male,no
2,0,0,female,no
0,0,1,female,no
0,1,2,male,no
1,1,3,male,yes
0,0,1,male,no
3,1,3,female,no
2,1,2,male,no
1,1,2,male,no
1,0,2,male,no
0,1,0,male,no
3,0,1,female,yes
2,0,1,female,no
0,0,1,female,no
2,0,1,male,no
2,1,2,female,yes
1,1,2,male,yes
3,1,0,female,no
3,0,0,female,no
0,0,0,female,no
2,0,1,female,no
1,1,0,female,no
1,1,3,female,yes
1,0,0,male,no
2,1,2,male,yes
3,1,3,female,yes
3,1,3,male,yes
1,1,3,male,yes
0,0,3,female,no
3,1,1,male,yes
0,0,0,female,no
2,1,2,male,yes
0,0,1,male,no
2,1,1,male,no
3,1,1,male,yes
0,0,0,male,no
2,1,3,female,yes
2,1,2,male,yes
0,1,0,male,no
0,1,3,male,yes
0,1,1,female,yes
1,1,3,male,yes
2,1,2,female,no
2,1,1,male,yes
3,1,3,female,yes
1,0,1,male,no
2,1,0,female,no
2,0,2,female,no
3,1,3,female,yes
3,1,1,female,yes
1,1,2,male,no
3,1,2,female,yes
2,1,2,male,no
1,0,1,male,no
2,1,3,male,yes
3,1,3,female,yes
1,0,0,female,no
2,0,3,female,no
0,0,0,female,no
3,0,0,male,no
2,0,0,male,no
3,1,3,female,yes
1,0,3,female,no
0,0,1,male,no
1,0,2,male,no
2,1,0,male,no
3,0,0,female,no
2,1,3,female,yes
1,0,1,female,no
1,0,3,male,no
2,0,1,female,no
0,0,2,female,no
2,0,1,female,no
0,0,1,male,no
2,0,1,female,no
1,0,1,female,no
2,1,2,male,yes
3,1,3,male,no
0,0,2,male,no
1,1,2,male,no
0,0,0,female,no
0,0,1,male,no
1,1,3,female,yes
0,0,1,female,no
1,0,0,female,no
3,1,2,male,yes
2,1,2,female,yes
2,0,2,female,no
3,0,2,male,no
0,0,0,female,no
0,0,1,male,no
2,1,3,male,yes
1,0,2,female,no
2,1,3,female,yes
3,0,0,female,no
0,0,1,male,no
3,1,3,female,no
3,0,1,female,no
0,1,3,female,no
0,0,1,female,no
2,0,2,male,no
1,0,1,male,no
1,1,0,female,no
1,0,0,male,no
1,0,1,male,no
1,0,2,female,no
0,1,0,male,no
3,0,1,male,no
2,1,3,male,yes
3,0,2,female,no
1,0,3,female,yes
2,0,3,female,no
2,0,1,male,no
1,0,2,female,no
0,1,2,female,no
1,0,2,female,no
2,1,1,male,yes
2,0,0,male,no
1,1,2,female,yes
0,0,3,male,no
3,0,1,male,no
2,0,1,male,no
0,0,0,male,no
1,1,3,male,yes
1,0,1,female,no
3,0,0,female,no
3,1,3,male,yes
2,1,1,female,no
0,1,2,male,no
2,1,2,male,yes
2,0,0,female,no
3,1,1,female,yes
0,0,1,male,no
0,1,2,male,no
2,1,2,male,yes
3,0,3,male,no
0,1,2,male,yes
0,0,2,male,no
3,1,2,male,yes
1,1,1,female,no
0,0,1,female,no
1,1,3,female,yes
1,0,0,female,yes
2,0,1,female,no
0,1,1,female,no
1,0,1,female,no
2,1,2,male,no
0,0,2,female,no
0,1,2,male,no
1,0,1,male,no
1,1,1,male,no
1,1,1,female,yes
3,1,2,female,yes
2,0,3,female,yes
2,0,0,male,no
3,0,2,female,no
1,0,0,male,no
2,1,3,male,yes
0,0,1,male,no
2,0,2,female,no
0,1,2,female,yes
3,1,3,female,yes
1,1,2,female,no
1,0,0,female,no
2,1,1,female,no
3,1,1,female,yes
2,0,1,female,no
2,0,0,female,no
3,1,3,male,yes
1,0,1,female,no
0,1,3,female,no
2,0,1,male,no
3,1,3,female,yes
3,1,3,female,no
2,1,3,male,yes
3,1,3,female,yes
1,1,3,female,yes
2,1,1,male,no
3,1,3,male,no
2,1,0,male,no
2,1,3,male,yes
3,1,2,male,yes
2,1,2,male,yes
0,0,2,female,no
3,1,3,female,yes
1,1,0,male,yes
3,1,3,male,no
3,0,2,male,no
2,0,3,female,no
3,1,3,female,yes
1,0,2,male,no
2,0,2,female,no
0,0,3,female,no
0,1,2,female,no
3,0,0,male,no
3,1,3,female,no
2,1,2,female,yes
0,0,2,male,no
0,0,2,female,no
1,0,3,male,no
1,0,0,male,no
1,1,3,male,yes
3,1,3,male,yes
2,1,3,male,yes
2,1,0,female,yes
1,0,0,female,no
2,1,3,female,yes
3,0,3,male,no
1,0,1,female,no
1,1,3,male,yes
1,0,1,female,yes
2,0,3,female,no
2,1,2,female,no
1,1,2,female,no
3,1,3,male,yes
3,1,2,male,yes
1,1,0,male,no
1,1,2,female,yes
1,0,2,male,no
2,0,2,female,no
2,0,1,male,no
3,1,1,female,yes
0,1,3,female,yes
2,0,1,female,no
2,1,3,female,yes
1,1,3,male,no
3,1,3,male,yes
3,1,3,male,yes
2,1,2,female,yes
0,0,0,female,no
0,1,1,male,no
2,0,2,female,no
3,1,3,female,yes
2,0,0,male,no
1,1,3,female,no
1,0,1,female,no
3,1,1,male,yes
0,0,0,female,no
3,0,0,male,no
3,1,3,female,no
2,1,2,male,no
1,0,2,female,no
2,1,1,female,no
1,1,0,female,no
1,0,1,female,no
2,1,2,male,yes
0,0,0,female,no
3,1,3,female,yes
0,0,2,female,no
0,0,1,female,no
1,1,3,male,yes
0,0,0,male,no
1,1,1,female,no
2,1,3,female,yes
2,1,0,male,yes
0,0,2,male,no
2,1,3,female,yes
2,0,3,female,no
2,1,3,male,yes
1,1,0,male,no
0,0,1,female,no
0,0,1,female,no
0,0,2,male,no
2,0,0,male,no
3,1,2,male,no
0,0,1,male,no
3,1,2,female,yes
3,0,2,female,no
1,1,2,male,no
2,1,2,male,no
0,1,0,male,no
3,1,2,male,yes
0,0,0,female,no
0,0,2,male,no
0,0,2,female,no
3,1,3,male,yes
1,0,0,female,no
0,0,1,female,no
2,1,3,male,no
0,1,1,male,no
0,1,2,female,no
0,0,0,female,no
1,1,0,male,no
2,1,3,female,no
1,0,2,female,yes
3,1,3,male,yes
3,1,3,female,yes
2,1,3,male,yes
2,1,2,male,yes
2,1,3,male,yes
0,0,0,female,no
1,1,2,male,yes
0,1,0,female,no
3,1,3,male,yes
2,1,3,female,yes
3,1,1,female,no
1,1,3,male,no
3,1,2,female,yes
3,1,3,female,yes
1,1,3,male,yes
2,0,2,male,yes
3,0,0,male,no
0,0,0,male,no
1,1,3,female,yes
0,0,1,male,no
0,0,0,female,no
1,0,1,female,no
0,0,0,female,no
1,1,2,female,yes
2,1,1,female,no
1,0,3,female,no
0,0,2,female,no
1,1,3,female,yes
2,0,2,female,no
1,0,0,female,no
2,0,1,male,no
0,0,1,female,no
0,1,3,female,no
3,1,3,female,no
3,1,2,male,yes
2,1,3,female,yes
0,0,2,female,no
1,1,2,female,no
2,1,3,female,yes
3,1,1,male,yes
0,0,0,female,no
3,1,0,female,yes
1,0,2,male,no
0,0,3,female,no
3,1,3,female,yes
0,1,3,female,yes
3,1,2,male,yes
1,1,3,male,no
2,0,0,male,yes
0,0,0,female,no
0,0,0,male,no
1,0,2,female,no
2,1,2,male,no
3,1,3,female,yes
1,0,1,female,no
3,0,1,female,no
0,1,3,male,yes
0,1,2,male,no
0,1,0,male,no
0,1,2,female,yes
3,1,3,female,yes
1,1,0,male,no
2,0,0,female,no
3,1,1,male,yes
3,1,2,female,yes
1,0,1,female,no
2,1,2,female,no
3,1,3,male,yes
2,0,2,male,no
0,0,2,male,yes
2,1,2,male,yes
3,1,1,female,yes
0,1,1,male,no
1,0,0,male,yes
3,0,1,male,yes
0,0,1,male,no
1,1,2,female,no
2,0,3,female,no
2,1,2,male,yes
1,0,1,female,no
0,1,1,male,yes
2,1,1,female,yes
2,1,0,male,no
0,0,0,female,no
3,1,1,male,yes
3,1,3,male,yes
3,1,1,male,no
0,1,3,male,yes
0,1,2,female,no
2,0,2,female,no
2,1,1,female,yes
2,1,3,female,yes
3,1,1,female,yes
3,1,2,male,yes
3,0,2,male,no
3,1,1,male,yes
1,0,3,female,no
3,1,3,male,yes
0,1,2,female,no
1,0,1,male,no
3,1,2,female,yes
3,0,0,female,no
1,0,1,female,yes
2,0,3,female,yes
1,1,3,male,no
0,1,1,female,no
2,0,1,female,no
1,1,0,male,no
0,1,3,female,no
0,0,2,female,no
1,0,1,female,no
1,0,2,male,no
3,1,1,male,yes
3,0,3,male,yes
3,1,1,male,yes
1,0,0,female,no
3,1,2,male,no
3,1,0,male,no
0,0,2,female,no
3,1,3,female,yes
2,0,0,female,no
2,1,2,male,yes
3,1,2,female,yes
0,0,1,female,no
3,1,0,male,no
0,0,0,female,no
1,1,3,female,no
0,0,0,male,no
1,1,1,male,no
1,0,2,male,no
2,1,0,male,yes
2,1,3,female,yes
2,1,2,female,no
2,1,0,male,no
0,0,0,male,no
0,1,1,male,yes
1,0,2,female,no
3,0,0,male,yes
2,0,0,male,no
3,1,3,female,no
1,1,1,male,yes
0,1,1,male,no
0,1,3,female,no
3,1,3,male,yes
0,0,1,male,no
1,1,1,female,no
2,1,2,female,no
0,0,0,female,no
0,1,1,male,no
0,0,0,male,no
2,0,2,male,yes
0,0,0,male,no
3,1,1,male,no
3,1,2,male,no
0,0,0,male,no
2,0,1,female,no
1,1,3,male,no
1,1,0,male,no
2,1,3,female,yes
2,1,3,female,yes
3,1,3,female,yes
1,0,1,male,no
2,1,3,male,yes
1,0,1,female,no
3,0,1,female,no
1,0,0,male,no
2,1,3,female,yes
0,0,1,male,no
3,1,2,female,yes
2,0,1,male,no
3,1,2,female,yes
1,1,3,female,yes
1,0,1,female,no
1,0,3,female,no
0,1,3,female,no
3,1,3,male,yes
0,0,0,male,no
1,0,1,female,no
3,1,3,male,yes
1,1,0,male,no
2,0,0,female,no
1,1,3,female,yes
3,1,2,male,yes
1,0,0,female,no
2,0,1,male,no
2,0,1,female,no
2,1,2,female,no
3,0,1,male,no
2,0,0,female,no
2,1,3,female,yes
1,0,3,male,no
2,0,1,male,no
0,0,1,male,no
2,0,3,female,yes
0,0,0,male,no
1,1,3,female,yes
1,0,1,male,no
2,0,1,male,no
0,0,1,female,no
0,0,1,male,no
3,0,1,female,no
1,0,0,male,no
2,0,1,female,no
1,1,3,female,yes
3,0,1,female,no
3,0,0,female,yes
1,0,0,female,no
0,0,0,male,no
1,0,1,female,no
0,0,1,female,no
0,0,1,female,no
0,0,2,male,yes
2,1,2,female,no
0,1,2,male,yes
3,1,3,male,yes
1,0,1,female,no
0,0,1,female,no
0,1,1,male,no
3,1,1,male,yes
0,0,2,female,no
0,0,0,male,no
3,1,2,female,no
2,1,3,male,yes
3,0,3,female,no
0,1,2,female,no
1,1,1,male,yes
2,0,0,female,no
2,1,3,female,yes
0,1,3,female,no
0,0,2,female,no
0,0,2,male,no
2,0,0,female,no
3,1,1,female,yes
1,1,1,male,yes
2,1,3,female,yes
1,1,2,male,no
2,1,1,male,yes
3,1,2,male,yes
2,0,1,female,no
3,1,2,female,no
0,0,1,male,no
2,0,2,female,no
0,1,1,female,yes
1,1,3,female,no
0,0,1,female,no
1,0,1,male,no
0,1,1,male,no
2,0,1,male,no
1,1,1,male,yes
3,1,2,female,yes
0,0,1,female,no
1,0,0,male,no
3,1,2,male,no
0,0,0,male,no
0,1,3,male,no
1,0,1,female,no
3,1,3,male,yes
1,1,2,male,yes
1,1,2,female,no
1,0,1,male,yes
1,0,2,male,no
3,1,2,male,yes
3,1,2,female,no
0,0,1,female,no
0,1,2,female,no
0,0,0,male,no
3,0,1,female,no
0,1,0,female,no
3,1,3,male,yes
1,0,0,female,no
3,1,2,male,yes
1,1,2,male,yes
0,0,0,female,no
0,0,2,male,no
3,1,2,female,yes
0,1,3,female,no
0,0,2,female,yes
1,0,0,female,no
3,1,3,female,yes
3,1,3,male,yes
3,1,3,male,no
2,1,3,female,yes
3,0,1,female,no
0,0,0,female,no
0,1,2,male,yes
2,0,1,female,no
2,1,3,male,yes
2,0,0,male,no
2,0,0,female,no
1,1,2,female,yes
1,1,2,male,yes
0,0,0,female,no
0,0,1,male,no
2,1,2,male,yes
0,0,1,male,no
0,0,3,female,no
2,1,3,female,no
1,1,0,female,no
3,1,2,male,yes
1,1,0,male,yes
1,1,3,male,no
1,0,2,female,no
0,0,0,male,no
0,0,0,male,no
3,1,3,female,yes
1,1,1,male,yes
0,0,2,male,no
1,1,3,male,yes
0,1,1,female,no
1,0,0,female,no
3,0,1,female,no
3,0,1,male,no
0,1,3,male,yes
1,0,2,female,no
2,1,3,female,yes
1,0,0,female,no
0,1,0,female,no
1,1,1,male,yes
0,0,0,female,no
2,1,3,male,yes
0,0,3,male,no
1,0,2,male,no
3,1,2,female,yes
2,0,2,female,no
1,0,3,male,no
1,0,2,male,no
2,1,0,male,yes
1,0,3,male,no
1,0,0,male,no
2,1,3,male,no
3,1,3,female,no
2,1,2,female,no
1,1,2,female,yes
0,1,1,female,yes
3,1,3,female,no
0,0,0,male,no
1,1,3,male,yes
2,0,3,female,no
0,1,1,female,no
0,0,2,male,no
0,1,2,female,no
2,1,2,female,no
1,0,1,female,no
1,1,1,male,no
0,1,0,male,no
2,1,2,female,no
3,1,3,female,yes
3,1,3,male,yes
1,0,3,female,no
2,0,2,female,no
0,0,3,male,no
0,0,3,female,no
2,0,1,male,no
2,0,1,female,no
0,0,0,female,no
1,1,0,female,no
2,1,3,female,yes
0,0,0,female,no
3,1,1,female,yes
0,0,1,male,no
1,1,1,male,yes
0,0,0,female,no
3,0,0,female,no
3,1,3,female,no
2,0,0,female,no
2,0,2,female,no
0,0,1,female,no
2,1,3,female,yes
3,1,3,female,no
2,1,3,male,yes
0,0,1,male,no
2,1,3,male,yes
0,0,1,female,yes
0,1,2,male,yes
0,1,0,male,yes
2,0,1,male,no
0,0,0,male,no
1,0,2,female,no
0,1,3,female,no
3,0,1,female,yes
1,0,1,female,yes
3,1,0,male,yes
1,0,3,female,no
1,1,1,male,yes
1,1,2,male,no
0,0,1,male,no
1,0,1,male,no
3,1,3,female,no
3,1,3,male,yes
2,1,2,male,yes
1,1,1,female,no
1,1,3,female,no
0,1,2,male,no
3,1,1,male,no
0,0,0,female,no
3,1,3,female,yes
2,1,3,female,yes
2,1,1,female,no
2,0,0,male,no
2,0,3,male,yes
3,0,0,female,no
3,1,2,male,yes
2,0,2,female,yes
1,0,3,female,yes
2,0,2,male,no
2,1,0,male,yes
3,1,3,male,yes
0,1,2,male,no
1,0,1,male,no
0,0,1,female,no
0,0,2,male,no
0,1,0,male,no
0,0,1,male,no
0,0,2,female,no
2,1,1,female,no
0,0,0,female,no
3,1,2,female,no
1,1,3,female,yes
1,0,2,female,no
0,1,3,female,no
0,1,3,female,no
2,1,2,female,yes
3,0,1,female,no
0,0,0,female,no
2,1,2,female,no
0,1,3,male,no
1,0,2,male,no
3,1,3,male,yes
0,1,1,female,yes
3,1,3,female,no
2,0,2,female,no
0,0,0,female,no
3,1,2,male,yes
1,0,3,male,no
3,1,3,female,no
3,1,3,female,no
0,0,0,female,no
0,1,3,female,yes
2,1,2,female,no
3,1,3,female,yes
2,1,2,female,yes
2,1,0,female,no
2,1,2,male,no
0,0,0,female,no
2,1,3,female,yes
3,1,3,male,yes
0,0,2,male,no
0,1,2,female,no
2,1,1,male,yes
0,0,1,female,no
1,0,2,male,no
0,0,0,female,no
0,0,1,female,no
2,0,1,female,no
1,1,2,male,yes
3,1,0,female,no
1,0,0,male,no
3,1,2,male,yes
0,0,3,male,no
3,1,3,female,yes
1,1,2,female,yes
1,0,0,female,no
2,0,0,male,no
1,1,3,female,yes
0,0,1,male,no
0,0,1,female,no
1,1,3,male,no
2,1,3,male,yes
2,1,0,male,no
3,1,2,female,no
2,0,1,female,no
0,1,2,female,yes
3,1,2,male,yes
0,0,1,male,no
2,0,2,male,no
3,0,1,female,yes
3,1,3,female,yes
0,1,2,female,yes
0,0,1,male,no
0,0,0,male,no
1,1,2,male,no
2,1,1,male,no
0,0,0,female,no
3,0,2,female,no
2,1,1,female,yes
3,1,2,male,yes
3,1,2,male,yes
3,1,2,male,yes
0,0,2,male,no
0,0,1,male,no
1,0,2,male,no
1,0,1,female,no
0,0,1,male,no
3,1,1,female,yes
1,0,1,male,no
0,0,2,male,yes
1,0,1,female,no
2,0,1,male,no
2,0,0,female,no
1,0,0,female,yes
2,1,1,male,no
2,1,2,female,no
1,0,3,female,no
3,1,0,male,no
0,0,2,female,no
1,0,0,male,no
3,1,3,female,yes
0,0,0,female,no
0,0,0,male,no
1,1,2,male,no
2,1,2,male,yes
0,0,2,female,no
2,1,2,male,yes
0,0,1,female,no
3,1,1,male,yes
1,0,0,male,no
3,1,0,male,yes
3,1,2,male,yes
2,1,2,male,yes
3,1,3,female,yes
1,1,3,male,yes
3,1,3,male,yes
2,1,1,male,no
1,0,2,male,no
2,1,3,male,yes
0,1,1,male,no
0,0,0,female,no
2,1,3,female,yes
3,1,3,male,yes
2,1,3,female,yes
1,0,0,female,no
1,1,0,male,yes
0,0,1,male,no
2,1,1,male,no
1,0,1,male,no
3,0,0,female,no
3,1,3,female,no
3,1,2,female,yes
3,0,0,female,no
1,0,0,male,no
0,1,2,female,no
2,1,2,female,no
2,1,2,male,no
2,0,0,female,no
0,1,1,male,no
1,0,2,male,no
2,1,3,male,no
2,0,0,female,no
2,1,1,female,no
3,0,0,female,no
2,1,1,female,no
1,0,1,female,no
0,0,1,male,no
2,1,3,female,yes
1,0,2,female,no
2,1,3,male,yes
1,1,1,female,no
0,1,0,female,yes
1,1,3,female,no
0,0,0,female,no
2,0,3,female,no
0,1,0,male,no
3,1,2,female,yes
2,0,0,female,no
0,0,0,male,no
3,1,3,female,yes
0,0,0,female,no
2,1,3,female,yes
2,1,0,male,no
0,1,2,female,no
0,0,0,male,no
3,1,3,male,yes
3,1,3,female,yes
1,1,3,female,yes
1,0,0,female,no
2,0,1,female,no
2,0,1,male,no
3,0,1,female,no
0,0,2,male,no
0,0,0,male,no
1,1,2,male,no
2,1,3,male,yes
3,1,3,male,yes
0,1,1,female,no
2,1,2,male,yes
2,0,0,male,yes
1,0,1,male,no
0,0,1,male,no
2,0,0,male,no
2,0,1,female,no
1,1,0,female,no
1,1,2,male,no
3,1,0,female,no
1,1,3,male,no
3,1,1,male,yes
0,0,1,female,no
0,0,0,female,no
0,0,2,female,no
0,0,0,male,no
0,0,0,male,no
3,1,3,female,no
2,1,0,female,yes
1,0,2,male,no
1,0,0,male,yes
2,0,1,female,no
0,0,0,male,no
2,1,1,female,no
0,0,1,male,no
1,1,2,male,yes
2,0,1,female,no
0,0,0,female,no
3,1,2,male,no
1,0,2,female,yes
3,1,1,male,yes
3,1,1,female,no
2,1,1,male,no
0,0,2,female,no
1,1,2,male,yes
0,0,2,male,no
3,0,3,female,yes
1,0,1,male,no
3,1,3,male,yes
0,0,0,male,no
1,1,2,female,yes
1,0,1,male,no
2,0,0,female,no
1,0,1,female,no
2,1,3,male,no
2,1,2,male,yes
2,0,2,male,yes
1,0,2,male,no
1,0,3,female,no
0,1,0,male,no
1,1,0,female,no
0,1,3,male,yes
1,0,0,female,no
1,0,0,male,no
1,1,3,female,yes
1,0,1,female,no
0,0,1,male,no
0,0,2,female,no
0,0,0,male,no
1,1,3,male,yes
2,0,3,female,no
1,0,1,female,no
0,0,0,male,no
3,1,3,male,yes
3,1,1,female,yes
2,0,1,male,no
3,1,1,female,yes
2,1,2,female,yes
0,0,1,male,no
2,1,0,female,no
0,1,3,female,yes
2,1,1,male,yes
3,0,3,female,no
2,0,1,male,no
0,1,1,female,no
1,0,2,female,no
2,1,2,male,yes
1,1,1,female,yes
0,0,1,male,no
1,1,0,female,yes
1,1,1,female,no
0,1,1,female,no
0,0,3,female,no
2,1,0,male,yes
0,0,0,male,no
0,1,2,male,no
1,1,2,female,no
2,0,2,female,no
1,1,3,male,no
0,1,1,female,no
2,1,2,female,yes
0,0,2,male,no
1,1,3,female,yes
0,0,1,female,no
1,1,2,female,no
1,1,2,male,yes
1,0,0,female,no
1,1,1,male,no
3,1,3,male,yes
0,1,1,male,yes
1,0,0,male,no
0,0,0,male,no
1,0,0,female,no
3,1,3,male,yes
3,0,1,female,no
2,0,1,female,no
1,0,0,male,no
